Tickers,Is_ETF,cik_str,title,Sector,YF_Have_Data
A,False,1090872.0,"AGILENT TECHNOLOGIES, INC.",Healthcare,True
AA,False,1675149.0,Alcoa Corp,Basic Materials,True
AAAU,True,1708646.0,Goldman Sachs Physical Gold ETF,,True
AACB,False,2034334.0,Artius II Acquisition Inc.,Financial Services,True
AACG,False,1420529.0,ATA Creativity Global,Consumer Defensive,True
AACT,False,1853138.0,Ares Acquisition Corp II,Financial Services,True
AACT-UN,False,1853138.0,Ares Acquisition Corp II,Financial Services,True
AAGH,False,1098009.0,America Great Health,Healthcare,True
AAGR,False,1848898.0,African Agriculture Holdings Inc.,Consumer Defensive,True
AAL,False,6201.0,American Airlines Group Inc.,Industrials,True
AAM,False,2012964.0,AA Mission Acquisition Corp.,Financial Services,True
AAM-UN,False,2012964.0,AA Mission Acquisition Corp.,Financial Services,True
AAMCF,False,1555074.0,Altisource Asset Management Corp,Financial Services,True
AAME,False,8177.0,ATLANTIC AMERICAN CORP,Financial Services,True
AAMTF,False,1327899.0,Armada Mercantile Ltd,Financial Services,True
AAOI,False,1158114.0,"APPLIED OPTOELECTRONICS, INC.",Technology,True
AAON,False,824142.0,"AAON, INC.",Industrials,True
AAP,False,1158449.0,ADVANCE AUTO PARTS INC,Consumer Cyclical,True
AAPI,False,1134982.0,"Apple iSports Group, Inc.",Consumer Cyclical,True
AAPL,False,320193.0,Apple Inc.,Technology,True
AAQL,False,1672571.0,Antiaging Quantum Living Inc.,Consumer Cyclical,True
AASP,False,930245.0,GLOBAL ACQUISITIONS Corp,Financial Services,True
AAT,False,1500217.0,"American Assets Trust, Inc.",Real Estate,True
AATC,False,943034.0,AUTOSCOPE TECHNOLOGIES CORP,Technology,True
AAUAF,False,1015647.0,ALMADEN MINERALS LTD,Basic Materials,True
AAUGF,False,1905688.0,AERO ENERGY Ltd,Basic Materials,True
AAWH,False,1756390.0,"Ascend Wellness Holdings, Inc.",Healthcare,True
AAXJ,False,,,,True
AB,False,825313.0,ALLIANCEBERNSTEIN HOLDING L.P.,Financial Services,True
ABAT,False,1576873.0,AMERICAN BATTERY TECHNOLOGY Co,Basic Materials,True
ABBNY,False,1091587.0,ABB LTD,Industrials,True
ABBV,False,1551152.0,AbbVie Inc.,Healthcare,True
ABCB,False,351569.0,Ameris Bancorp,Financial Services,True
ABCE,False,1300938.0,"ABCO Energy, Inc.",Technology,True
ABCFF,False,1284237.0,ABACUS MINING & EXPLORATION CORP,Basic Materials,True
ABCL,False,1703057.0,AbCellera Biologics Inc.,Healthcare,True
ABCP,False,20639.0,AmBase Corp,Real Estate,True
ABEO,False,318306.0,ABEONA THERAPEUTICS INC.,Healthcare,True
ABEV,False,1565025.0,AMBEV S.A.,Consumer Defensive,True
ABG,False,1144980.0,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclical,True
ABIT,False,1095146.0,Athena Bitcoin Global,Financial Services,True
ABL,False,1814287.0,"Abacus Life, Inc.",Financial Services,True
ABLLL,False,1814287.0,"Abacus Life, Inc.",,True
ABLV,False,1957489.0,Able View Global Inc.,Communication Services,True
ABLZF,False,1091587.0,ABB LTD,Industrials,True
ABM,False,771497.0,ABM INDUSTRIES INC /DE/,Industrials,True
ABMC,False,896747.0,AMERICAN BIO MEDICA CORP,Healthcare,True
ABNB,False,1559720.0,"Airbnb, Inc.",Consumer Cyclical,True
ABOS,False,1576885.0,"Acumen Pharmaceuticals, Inc.",Healthcare,True
ABP,False,1893219.0,"Abpro Holdings, Inc.",Healthcare,True
ABQQ,False,1605331.0,AB INTERNATIONAL GROUP CORP.,Communication Services,True
