cik_str,Tickers,title,Sector,Sector_Check
1090872,A,"AGILENT TECHNOLOGIES, INC.",Healthcare,True
1675149,AA,Alcoa Corp,Basic Materials,True
1708646,AAAU,Goldman Sachs Physical Gold ETF,,True
2034334,AACB,Artius II Acquisition Inc.,Financial Services,True
1420529,AACG,ATA Creativity Global,Consumer Defensive,True
1853138,AACT,Ares Acquisition Corp II,Financial Services,True
1853138,AACT-UN,Ares Acquisition Corp II,Financial Services,True
1853138,AACT-WT,Ares Acquisition Corp II,,True
1422142,AADI,"Aadi Bioscience, Inc.",,True
1098009,AAGH,America Great Health,Healthcare,True
1848898,AAGR,African Agriculture Holdings Inc.,Consumer Defensive,True
6201,AAL,American Airlines Group Inc.,Industrials,True
2012964,AAM,AA Mission Acquisition Corp.,Financial Services,True
2012964,AAM-UN,AA Mission Acquisition Corp.,Financial Services,True
2012964,AAM-WT,AA Mission Acquisition Corp.,,True
1555074,AAMCF,Altisource Asset Management Corp,Financial Services,True
8177,AAME,ATLANTIC AMERICAN CORP,Financial Services,True
1327899,AAMTF,Armada Mercantile Ltd,Financial Services,True
1158114,AAOI,"APPLIED OPTOELECTRONICS, INC.",Technology,True
824142,AAON,"AAON, INC.",Industrials,True
1158449,AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,True
1134982,AAPI,"Apple iSports Group, Inc.",Consumer Cyclical,True
320193,AAPL,Apple Inc.,Technology,True
1672571,AAQL,Antiaging Quantum Living Inc.,Consumer Cyclical,True
930245,AASP,GLOBAL ACQUISITIONS Corp,Financial Services,True
1500217,AAT,"American Assets Trust, Inc.",Real Estate,True
943034,AATC,AUTOSCOPE TECHNOLOGIES CORP,Technology,True
1015647,AAUAF,ALMADEN MINERALS LTD,Basic Materials,True
1905688,AAUGF,AERO ENERGY Ltd,Basic Materials,True
1756390,AAWH,"Ascend Wellness Holdings, Inc.",Healthcare,True
825313,AB,ALLIANCEBERNSTEIN HOLDING L.P.,Financial Services,True
1576873,ABAT,AMERICAN BATTERY TECHNOLOGY Co,Basic Materials,True
1091587,ABBNY,ABB LTD,Industrials,True
1551152,ABBV,AbbVie Inc.,Healthcare,True
351569,ABCB,Ameris Bancorp,Financial Services,True
1300938,ABCE,"ABCO Energy, Inc.",Technology,True
