Tickers,Sharpe_ratios,Date_Collected
A,1.965315833345949,2025-07-12
AA,1.825040089805527,2025-07-12
AAAU,1.9389228169954749,2025-07-12
AACB,1.9608397641026696,2025-07-12
AACG,-0.0904411975041431,2025-07-12
AACT,0.98525021582562,2025-07-12
AACT-UN,0.5836466264232966,2025-07-12
AAGH,1.7138599220845463,2025-07-12
AAGR,5.2375876902741405,2025-07-12
AAL,1.5307157287607092,2025-07-12
AAM,1.1627260681034786,2025-07-12
AAM-UN,1.101525192274688,2025-07-12
AAMCF,-0.2565383074523097,2025-07-12
AAME,1.7693674726693471,2025-07-12
AAMTF,1.3347971134625023,2025-07-12
AAOI,1.433404801669816,2025-07-12
AAON,-0.0620620591899805,2025-07-12
AAP,0.3311625014523904,2025-07-12
AAPI,1.0186893348469417,2025-07-12
AAPL,-0.2015130984449963,2025-07-12
AAQL,1.4034733477732215,2025-07-12
AASP,2.10253431051617,2025-07-12
AAT,-0.1637126015147885,2025-07-12
AATC,0.8790721304913246,2025-07-12
AAUAF,1.5762064744597777,2025-07-12
AAUGF,1.7765702915582309,2025-07-12
AAWH,-0.4585662826467118,2025-07-12
AAXJ,0.515887057021287,2025-07-12
AB,1.0588280298864097,2025-07-12
ABAT,0.8522014325689903,2025-07-12
ABBNY,0.174103159870879,2025-07-12
ABBV,0.5680286402797682,2025-07-12
ABCB,0.7130946939539906,2025-07-12
ABCE,-220.11673296023545,2025-07-12
ABCFF,1.8777674741455048,2025-07-12
ABCL,0.4655112087466134,2025-07-12
ABCP,0.4207442117721444,2025-07-12
ABEO,0.2370243420562539,2025-07-12
ABEV,0.6964834882059516,2025-07-12
ABG,0.1216177797660159,2025-07-12
ABIT,0.6344725843632136,2025-07-12
ABL,-0.6066617212590917,2025-07-12
ABLLL,0.2451412816554567,2025-07-12
ABLV,0.5426748106694712,2025-07-12
ABLZF,0.2751579232336976,2025-07-12
ABM,-0.0893522850992716,2025-07-12
ABMC,0.4275179528753004,2025-07-12
ABNB,-0.0616941017087234,2025-07-12
ABOS,-0.9158833025740164,2025-07-12
ABP,-1.851912482559334,2025-07-12
ABQQ,2.0222321591814785,2025-07-12
ABR,-0.0031341430422707,2025-07-12
ABR-PD,0.7020180576560637,2025-07-12
ABR-PE,0.5342207699719167,2025-07-12
ABR-PF,1.2280618380439483,2025-07-12
ABSI,-0.0256641003875752,2025-07-12
ABT,1.2920908488913223,2025-07-12
ABTI,0.0617744339496046,2025-07-12
ABTS,1.1380783321485533,2025-07-12
ABUS,-0.1451000862287089,2025-07-12
ABVC,1.8944786169820855,2025-07-12
ABVE,1.1126981495098256,2025-07-12
ABVX,-0.5457144461094444,2025-07-12
ABXXF,0.2528694823300457,2025-07-12
AC,0.9843267350015924,2025-07-12
ACA,0.2023735081038444,2025-07-12
ACAD,0.5158199552654987,2025-07-12
ACAN,0.8047734527237702,2025-07-12
ACB,-0.0358946013997237,2025-07-12
ACCO,-0.1802337937741291,2025-07-12
ACDC,0.418534077581931,2025-07-12
ACEL,0.57720269694828,2025-07-12
ACET,-0.1624904671388139,2025-07-12
ACFN,1.2453209595817525,2025-07-12
ACGL,-0.1459946823631275,2025-07-12
ACGLN,-0.8520305197728875,2025-07-12
ACGLO,-0.644101140672848,2025-07-12
ACHC,-1.5560526999732425,2025-07-12
ACHR,1.1968378767884744,2025-07-12
ACHV,-0.6018738900582001,2025-07-12
ACI,0.6131258981952062,2025-07-12
ACIC,0.2648426932153876,2025-07-12
ACIU,-0.767315980637701,2025-07-12
ACIW,0.3441344653038592,2025-07-12
ACLS,-1.024064583925958,2025-07-12
ACLX,0.4063401525322356,2025-07-12
ACM,1.1498482144894606,2025-07-12
ACMB,1.3208860932535795,2025-07-12
ACMR,0.5332538818926219,2025-07-12
ACN,-0.3024786888800209,2025-07-12
ACNB,0.1853633136203818,2025-07-12
ACNT,1.7364104103265177,2025-07-12
ACOG,1.2514159431559555,2025-07-12
ACON,-0.9616707360976438,2025-07-12
ACP,0.8906512078725569,2025-07-12
ACP-PA,-0.5240679116355236,2025-07-12
ACPS,0.5890123111508633,2025-07-12
ACR,1.017436512742907,2025-07-12
ACR-PC,1.0375547951537905,2025-07-12
ACR-PD,0.2003878499588774,2025-07-12
ACRE,-0.1898146331542335,2025-07-12
ACRG,-1.3467587048111436,2025-07-12
ACRL,1.1111617661271262,2025-07-12
ACRS,0.0947844799611729,2025-07-12
ACRV,-1.6981016525666874,2025-07-12
ACT,0.297715348729346,2025-07-12
ACTG,-0.2360017659347253,2025-07-12
ACTU,-0.1020625919675798,2025-07-12
ACU,0.487757320828115,2025-07-12
ACUR,1.2218315116323388,2025-07-12
ACUT,1.208447687150037,2025-07-12
ACV,0.9480435219684872,2025-07-12
ACVA,-0.162116369454117,2025-07-12
ACWI,0.8852529862237031,2025-07-12
ACWX,0.9399640960187536,2025-07-12
ACXP,-0.1232300436987732,2025-07-12
ADAG,0.0553498789137272,2025-07-12
ADAP,-1.2150157806892494,2025-07-12
ADBE,-1.132759267859065,2025-07-12
ADC,0.4378219125270052,2025-07-12
ADC-PA,0.1683249177413515,2025-07-12
ADCT,0.7344189800526324,2025-07-12
ADD,-0.9682098346162338,2025-07-12
ADEA,0.6128851343725372,2025-07-12
ADGM,-0.5355725850853569,2025-07-12
ADGO,-245.568474903059,2025-07-12
ADI,0.4150059338164044,2025-07-12
ADIA,2.428669103726736,2025-07-12
ADIL,-0.5586575624755131,2025-07-12
ADM,-0.641615258404143,2025-07-12
ADMA,1.5052292761315518,2025-07-12
ADMQ,0.3472911580351155,2025-07-12
ADMT,0.7078146440539316,2025-07-12
ADN,-0.2680209134562549,2025-07-12
ADNT,0.277829265065136,2025-07-12
ADOOY,-0.364530160317447,2025-07-12
ADP,0.8566825409220057,2025-07-12
ADPT,1.5225942664413328,2025-07-12
ADSE,-0.0102312330441804,2025-07-12
ADSK,0.4870979872287454,2025-07-12
ADT,0.6576346591808834,2025-07-12
ADTN,1.4210468657769864,2025-07-12
ADTTF,1.289683536404662,2025-07-12
ADTX,-4.484143581085447,2025-07-12
ADUR,1.5280615538427786,2025-07-12
ADUS,-0.5900101946113581,2025-07-12
ADV,-0.8717824444135779,2025-07-12
ADVM,-0.9362642534577948,2025-07-12
ADX,0.8920865529615927,2025-07-12
ADXN,0.4802094621522876,2025-07-12
ADXS,2.136796363294296,2025-07-12
ADZ,-221.9825019216072,2025-07-12
AEAE,-0.0466762163102043,2025-07-12
AEAEU,0.1288978402758943,2025-07-12
