Tickers,marketCap,trailingPE,profitMargins,trailingEps,Sharpe_ratios
BSX,140971835392.0,79.04958,0.112629995,1.21,3.081236696268877
ANET,144759029760.0,55.245197,0.40293998,2.08,1.904942453427257
AXP,211587088384.0,22.085293,0.16698,13.6,2.54110271619714
BAC,351264440320.0,16.586956,0.24952,2.76,1.966663229577561
AVGO,1053249765376.0,175.54688,0.108830005,1.28,1.8280584711259769
COST,407157473280.0,53.922985,0.02895,17.01,1.8325228841951329
GE,191413813248.0,34.81496,0.08926,5.08,2.2373948510671946
JPM,696712232960.0,13.748333,0.33163,18.0,2.0533377058260016
GS,179408994304.0,16.755497,0.24648,34.11,1.991231760109704
HSBC,177013506048.0,8.090164,0.40710998,6.1,2.0136111616304673
ISRG,191937740800.0,86.77617,0.28513,6.21,1.9084608592336352
NVDA,3226802323456.0,52.07905,0.55041003,2.53,2.1680001554133845
KKR,132559929344.0,44.473682,0.107530005,3.23,2.1922065322448794
MS,200767815680.0,18.93921,0.19205,6.58,1.8794449965921207
NFLX,354106212352.0,46.723072,0.20701,17.73,2.2442106841364833
PGR,140454051840.0,17.411764,0.112720005,13.77,2.1178313876873633
RTX,159016960000.0,34.429394,0.05969,3.47,2.2757734775618
PLTR,150144319488.0,329.55002,0.18009001,0.2,2.861844567219309
SAP,299999494144.0,106.96203,0.08252,2.37,2.35586680369425
T,156421308416.0,17.723576,0.07419,1.23,1.9688635701003372
TMUS,248553734144.0,24.42189,0.12964,8.77,1.8145899355460096
WMT,729351520256.0,37.51653,0.02339,2.42,3.472685474838653
WFC,237026394112.0,14.800417,0.23228,4.81,1.8965485378480775
