ticker,Have_Data
AAXJ,True
ACWI,True
ACWX,True
ADRA,False
ADRD,False
ADRE,False
ADRU,False
ADZ,True
AFK,True
AGA,False
AGF,True
AGG,True
AGQ,True
AGZ,True
AIA,True
ALT,True
AMJ,False
AOA,True
AOK,True
AOM,True
AOR,True
ASO,True
AXFN,False
AYT,False
BAB,True
BABS,False
BAL,False
BBH,True
BDD,True
BDG,False
BDH,False
BGU,False
BGZ,False
BHH,False
BIB,True
BICK,False
BIK,False
BIL,True
BIS,True
BIV,True
BJK,True
BKF,True
BLV,True
BND,True
BNZ,False
BOM,True
BOS,True
BRF,True
BRIL,False
BRIS,False
BRXX,False
BSC,False
BSR,True
BSV,True
BVL,False
BVT,False
BWV,False
BWX,True
BWZ,True
BXDB,False
BXDC,False
BXDD,False
BXUB,False
BXUC,False
BZF,False
BZQ,True
CEW,True
CFT,False
CGW,True
CHIB,False
CHIE,False
CHII,False
CHIM,False
CHIQ,True
CHIX,False
CHXX,False
CIU,False
CLY,False
CMD,False
CMF,True
CNDA,True
CNY,False
COPX,True
COW,False
CPI,False
CQQQ,True
CRBA,False
CRBI,False
CRBQ,False
CRO,False
CSD,True
CSJ,False
CSLS,False
CSM,True
CU,False
CUT,True
CVY,True
CWB,True
CWI,True
CXA,False
CYB,False
CZA,True
CZI,False
CZM,False
DAG,True
DBA,True
DBB,True
DBC,True
DBE,True
DBN,False
DBO,True
DBP,True
DBR,False
DBS,False
DBT,False
DBU,False
DBV,False
DDG,False
DDI,True
DDM,True
DDP,True
DEB,False
DEE,True
DEF,True
DEM,True
DENT,False
DES,True
DEW,True
DFE,True
DFJ,True
DGG,False
DGL,False
DGP,True
DGS,True
DGT,True
DGZ,True
DHS,True
DIA,True
DIG,True
DIM,True
DJCI,False
DJP,True
DKA,False
DLN,True
DLS,True
DMM,False
DND,False
DNH,False
DNL,True
DNO,False
DOD,False
DOG,True
DOL,True
DON,True
DOO,True
DOY,False
DPC,False
DPK,False
DPN,False
DPU,True
DRF,False
DRN,True
DRR,False
DRV,True
DRW,True
DSC,False
DSG,False
DSI,True
DSV,False
DTD,True
DTH,True
DTN,True
DTO,False
DUG,True
DVY,True
DWM,True
DWX,True
DXD,True
DXJ,True
DXO,False
DYY,True
DZK,False
DZZ,True
ECH,True
EDC,True
EDV,True
EDZ,True
EEB,False
EEG,False
EEH,False
EEM,True
EEN,False
EEO,False
EES,True
EET,True
EEV,True
EEZ,False
EFA,True
EFG,True
EFN,False
EFO,True
EFU,True
EFV,True
EFZ,True
EGPT,False
EIDO,True
EIRL,True
EIS,True
EKH,False
ELG,False
ELR,False
ELV,True
EMB,True
EMFN,False
EMG,False
EMIF,True
EMM,True
EMMT,False
EMT,False
EMV,False
ENY,False
EPI,True
EPP,True
EPS,True
EPU,True
EPV,True
